datetime,portfolio_value,cash,positions,return
2022-02-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-04 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-04 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-07 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-08 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-09 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-10 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-11 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-14 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-14 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-14 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-15 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-15 21:30:00-05:00,150025.90176391602,100000.0,"[{'asset': GLD, 'quantity': 289.0}]",0.5002590176391601
2022-02-15 21:29:00-05:00,150025.90176391602,100000.0,"[{'asset': GLD, 'quantity': 289.0}]",0.0
2022-02-16 08:30:00-05:00,150138.6115875244,100000.0,"[{'asset': GLD, 'quantity': 289.0}]",0.0007512690960909119
2022-02-16 09:30:00-05:00,150138.6115875244,100000.0,"[{'asset': GLD, 'quantity': 289.0}]",0.0
2022-02-16 09:30:00-05:00,150138.6115875244,100000.0,"[{'asset': GLD, 'quantity': 289.0}]",0.0
2022-02-16 21:30:00-05:00,200103.73316955566,100000.0,"[{'asset': GLD, 'quantity': 577.0}]",0.33279328384426754
2022-02-16 21:29:00-05:00,200103.73316955566,100000.0,"[{'asset': GLD, 'quantity': 577.0}]",0.0
2022-02-17 08:30:00-05:00,201955.89823913574,100000.0,"[{'asset': GLD, 'quantity': 577.0}]",0.009256024564072707
2022-02-17 09:30:00-05:00,201955.89823913574,100000.0,"[{'asset': GLD, 'quantity': 577.0}]",0.0
2022-02-17 09:30:00-05:00,201955.89823913574,100000.0,"[{'asset': GLD, 'quantity': 577.0}]",0.0
2022-02-17 21:30:00-05:00,201955.89823913574,100000.0,"[{'asset': GLD, 'quantity': 577.0}]",0.0
